Seed,Condition,Generation,SurvivalRate,ActionEntropy,ANNEX,GoldilocksStatus,AvgNodes,AvgEdges
789,Condition B (V6 Constrained 52 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),4500,0.8,0.0,1,ACCEPT,52.0,815.0
789,Condition B (V6 Constrained 52 nodes),5000,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
789,Condition C (V4 123 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,138.35,392.85
789,Condition C (V4 123 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,153.1,431.3
789,Condition C (V4 123 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,174.0,485.05
789,Condition C (V4 123 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,192.3,539.6
789,Condition C (V4 123 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,205.3,581.5
789,Condition C (V4 123 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,222.0,633.4
789,Condition C (V4 123 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,236.1,685.4
789,Condition C (V4 123 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,247.2,730.65
789,Condition C (V4 123 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,263.45,781.05
789,Condition C (V4 123 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,281.0,835.65
789,Condition D (Naive 12 nodes),500,1.0,0.469,0,REJECT_TOO_EASY,25.3,44.6
789,Condition D (Naive 12 nodes),1000,0.65,0.8813,1,ACCEPT,49.1,106.85
789,Condition D (Naive 12 nodes),1500,0.35,0.4912,1,REJECT_TOO_EASY,65.4,163.4
789,Condition D (Naive 12 nodes),2000,0.3,0.0,1,REJECT_TOO_EASY,72.2,195.45
789,Condition D (Naive 12 nodes),2500,0.4,0.0,1,REJECT_TOO_EASY,87.8,250.45
789,Condition D (Naive 12 nodes),3000,0.5,0.0,1,REJECT_TOO_EASY,104.1,300.9
789,Condition D (Naive 12 nodes),3500,0.6,0.0454,1,REJECT_TOO_EASY,114.1,342.15
