generation,gac,mean_novelty,archive_size
454,9.34,0.5436411283329268,200
455,10.26,0.5604684870047875,200
456,9.24,0.5351900524734572,200
457,12.08,0.5441752150981567,200
458,10.64,0.493193398005902,200
459,11.18,0.505470962555061,200
460,13.2,0.4878272404201622,200
461,10.14,0.5086557572501049,200
462,10.92,0.5126879753566728,200
463,10.48,0.5585981824673971,200
464,11.24,0.565290720927869,200
465,10.5,0.5456597316229116,200
466,8.98,0.5214818160471623,200
467,10.22,0.5563240754230881,200
468,9.0,0.5069220505529018,200
469,10.78,0.5501362936187568,200
470,11.28,0.4655777355713899,200
471,9.46,0.48755390131102955,200
472,10.18,0.5027681893768696,200
473,10.18,0.48450540868527625,200
474,9.62,0.5108158211343008,200
475,10.02,0.5124022351022268,200
476,9.4,0.5235614215230281,200
477,9.76,0.5236532182475817,200
478,9.08,0.5046799498773343,200
479,10.56,0.5067218312632001,200
480,10.64,0.5108926576868202,200
481,11.0,0.5114313303014292,200
482,11.82,0.509476040380674,200
483,11.7,0.5317758862956434,200
484,11.58,0.534469255966473,200
485,12.2,0.5468942312275525,200
486,13.62,0.5205264012278239,200
487,12.88,0.5136028833276967,200
488,13.72,0.5396596260095428,200
489,14.14,0.5581494874080375,200
490,14.2,0.5551263298794835,200
491,14.04,0.5390129799871649,200
492,13.54,0.5686527561535459,200
493,13.1,0.5358867081617534,200
494,14.88,0.555827053526603,200
495,14.24,0.575475489985277,200
496,14.94,0.591697401995207,200
497,14.36,0.5825265542083069,200
498,14.22,0.5763269596796854,200
499,14.9,0.5479030767884376,200
500,14.28,0.4720657278119683,200
501,15.72,0.4981050493646769,200
502,14.66,0.5118461670961572,200
503,14.72,0.5181018350919474,200
504,14.66,0.48898803643919836,200
505,12.92,0.49778132269605035,200
506,11.26,0.46681353251114566,200
507,12.96,0.48975979965722444,200
508,11.76,0.55203422818034,200
509,12.32,0.5763580952601661,200
510,12.32,0.5577919389925058,200
511,11.28,0.5620954559080313,200
512,13.52,0.5516866781564478,200
513,13.18,0.5442912919997227,200
514,11.8,0.5621629630998359,200
515,12.7,0.5797375346398188,200
516,10.34,0.5403037409491067,200
517,13.06,0.5597955983700428,200
518,10.36,0.5717598037197664,200
519,11.46,0.5622742485495579,200
520,10.42,0.5042435753056405,200
521,11.68,0.5245663997144931,200
522,12.5,0.4926750298587701,200
523,11.24,0.502822005689356,200
524,12.44,0.5111889580825815,200
525,11.44,0.5390953532652073,200
526,12.28,0.5779999412527386,200
527,13.0,0.5870874909743226,200
528,12.76,0.5793980919355343,200
529,13.16,0.553229130929836,200
530,11.76,0.5666659604669761,200
531,13.66,0.564756929698058,200
532,13.0,0.5795651561559785,200
533,14.52,0.5705949855735546,200
534,14.38,0.577269260641814,200
535,13.96,0.5795006623760153,200
536,13.66,0.5464076024336688,200
537,13.58,0.5208537906883131,200
538,12.64,0.5171482614804784,200
539,13.82,0.5483606093524661,200
540,13.8,0.5221511618530313,200
541,13.42,0.5522275447828251,200
542,13.42,0.5256961844363947,200
543,14.1,0.5670266072581338,200
544,15.08,0.588810164225355,200
545,15.08,0.5793484354711446,200
546,15.18,0.5651457667484127,200
547,16.88,0.5767686622239431,200
548,16.02,0.5512796036118935,200
549,16.86,0.5483185022526215,200
550,15.46,0.5135477289510623,200
551,16.1,0.5837374132640172,200
552,16.12,0.5954856158651266,200
553,16.06,0.6196347203693028,200
554,14.72,0.6450554953326262,200
555,15.08,0.6361364238975193,200
556,14.34,0.6163315012096365,200
557,13.08,0.618318500979991,200
558,12.78,0.5578933716524762,200
559,14.02,0.557887728127345,200
560,14.9,0.5516238425411388,200
561,13.88,0.5371989779535138,200
562,15.28,0.5917026458400237,200
563,13.9,0.5764819314808078,200
564,13.22,0.5747446148157276,200
565,13.66,0.581988749932012,200
566,14.04,0.6025492712369571,200
567,12.2,0.6181141463099019,200
568,13.52,0.609948178412085,200
569,13.3,0.5887204360735665,200
570,12.1,0.5736200681580266,200
