generation,median,p25,p75,baseline
8500,2.857142857142857,2.636904761904762,3.2202380952380953,novelty_search
8550,2.42,2.4165217391304346,2.6993617021276597,novelty_search
8600,2.061224489795918,1.920612244897959,2.5523513753327416,novelty_search
8650,2.9791666666666665,2.449583333333333,3.2980939716312054,novelty_search
8700,2.36,2.0575510204081633,3.0966666666666667,novelty_search
8750,2.38,2.2857446808510637,2.623333333333333,novelty_search
8800,2.5208333333333335,2.390416666666667,2.8420493197278915,novelty_search
8850,2.5510204081632653,2.2355102040816326,2.8469387755102042,novelty_search
8900,2.6041666666666665,2.1420833333333333,2.9920833333333334,novelty_search
8950,2.3,2.11,2.83,novelty_search
9000,2.54,2.31,3.0,novelty_search
9050,2.488888888888889,2.346485260770975,2.6444444444444444,novelty_search
9100,2.2916666666666665,2.1666666666666665,2.6666666666666665,novelty_search
9150,3.2448979591836733,2.8446712018140587,3.3951762523191094,novelty_search
9200,2.78,2.48,3.2649999999999997,novelty_search
9250,3.1041666666666665,2.592083333333333,3.145833333333333,novelty_search
9300,2.9,2.26,3.4045454545454543,novelty_search
9350,2.8372093023255816,2.5886046511627905,3.1790213178294575,novelty_search
9400,3.148936170212766,2.584468085106383,3.37881591119334,novelty_search
9450,2.5,2.3478260869565215,2.952127659574468,novelty_search
9500,2.4166666666666665,2.250886524822695,2.953014184397163,novelty_search
9550,2.75,2.725,3.247340425531915,novelty_search
9600,2.6,2.33,3.0340425531914894,novelty_search
9650,3.272727272727273,2.9696969696969697,3.3252525252525253,novelty_search
9700,3.0416666666666665,2.9479166666666665,3.100833333333333,novelty_search
9750,3.3404255319148937,3.260212765957447,3.398473635522664,novelty_search
9800,3.0408163265306123,2.8604081632653062,3.3714719930525403,novelty_search
9850,2.8958333333333335,2.6879166666666667,3.041666666666667,novelty_search
9900,3.125,2.6325000000000003,3.2525,novelty_search
9950,2.58,2.23,3.005909090909091,novelty_search
10000,2.76,2.752340425531915,3.255,novelty_search
